 -10.000      0.000000    0.00000000      Infinity    0.00000134      Infinity    0.00000048
  -9.800      0.000001    0.00000000      0.824928    0.00000134      0.824926    0.00000048
  -9.600      0.000002    0.00000000      0.812834    0.00000134      0.812830    0.00000048
  -9.400      0.000003    0.00000000      1.070924    0.00000134      1.070913    0.00000048
  -9.200      0.000006    0.00000001      1.057740    0.00000134      1.057720    0.00000048
  -9.000      0.000013    0.00000001      0.963746    0.00000134      0.963708    0.00000048
  -8.800      0.000025    0.00000002      0.987534    0.00000134      0.987455    0.00000048
  -8.600      0.000049    0.00000003      0.991502    0.00000134      0.991338    0.00000048
  -8.400      0.000096    0.00000013      0.996290    0.00000134      0.995969    0.00000050
  -8.200      0.000188    0.00000016      0.997421    0.00000135      0.996768    0.00000051
  -8.000      0.000365    0.00000032      1.000097    0.00000137      0.998982    0.00000058
  -7.800      0.000702    0.00000062      0.999708    0.00000148      0.997385    0.00000079
  -7.600      0.001318    0.00000095      0.999044    0.00000172      0.995588    0.00000106
  -7.400      0.002381    0.00000235      1.000351    0.00000271      0.992807    0.00000237
  -7.200      0.004072    0.00000439      1.000115    0.00000455      0.987457    0.00000434
  -7.000      0.006477    0.00000393      1.000419    0.00000410      0.980947    0.00000386
  -6.800      0.009698    0.00000649      1.000629    0.00000659      0.973159    0.00000624
  -6.600      0.013979    0.00000746      1.000934    0.00000758      0.965328    0.00000710
  -6.400      0.019955    0.00000725      1.001305    0.00000739      0.957474    0.00000681
  -6.200      0.028160    0.00001132      1.001944    0.00001135      0.949832    0.00001035
  -6.000      0.038639    0.00001374      1.002647    0.00001408      0.942472    0.00001219
  -5.800      0.050476    0.00001357      1.003648    0.00001381      0.934911    0.00001279
  -5.600      0.063210    0.00001297      1.004570    0.00001343      0.926801    0.00001164
  -5.400      0.077189    0.00001560      1.005667    0.00001565      0.918356    0.00001364
  -5.200      0.093520    0.00002003      1.007179    0.00001959      0.908640    0.00001782
  -5.000      0.112687    0.00002108      1.008848    0.00002164      0.897273    0.00001952
  -4.800      0.133558    0.00002533      1.010807    0.00002706      0.885569    0.00002145
  -4.600      0.154594    0.00002608      1.013068    0.00002705      0.873464    0.00002527
  -4.400      0.175094    0.00002196      1.015351    0.00002326      0.862049    0.00002023
  -4.200      0.196264    0.00002521      1.017666    0.00002940      0.850055    0.00001379
  -4.000      0.219552    0.00003095      1.019772    0.00003525      0.835197    0.00002704
  -3.800      0.245177    0.00003932      1.023486    0.00004453      0.818158    0.00003527
  -3.600      0.272262    0.00003269      1.026735    0.00003641      0.798026    0.00003280
  -3.400      0.300260    0.00006475      1.031061    0.00007135      0.779487    0.00004318
  -3.200      0.330226    0.00002921      1.035849    0.00003548      0.761573    0.00003691
  -3.000      0.363821    0.00005088      1.041608    0.00005518      0.745973    0.00006216
  -2.800      0.401707    0.00004081      1.048174    0.00005323      0.728320    0.00007914
  -2.600      0.442882    0.00004158      1.057517    0.00005822      0.711737    0.00004047
  -2.400      0.484880    0.00002566      1.067617    0.00003946      0.695537    0.00003745
  -2.200      0.526621    0.00005235      1.078207    0.00006777      0.679276    0.00007498
  -2.000      0.568330    0.00005040      1.089778    0.00006605      0.660884    0.00007549
  -1.800      0.611496    0.00004488      1.106356    0.00009271      0.638325    0.00008035
  -1.600      0.657066    0.00005083      1.129354    0.00012001      0.614977    0.00011463
  -1.400      0.704439    0.00002306      1.154189    0.00008590      0.589102    0.00010218
  -1.200      0.751808    0.00002821      1.179420    0.00014334      0.561980    0.00011900
  -1.000      0.797792    0.00001718      1.215273    0.00011474      0.535326    0.00009359
  -0.800      0.841071    0.00002645      1.252296    0.00027970      0.512614    0.00011440
  -0.600      0.881864    0.00001839      1.289544    0.00024621      0.491542    0.00009798
  -0.400      0.921300    0.00001970      1.320191    0.00035087      0.473463    0.00014247
  -0.200      0.960536    0.00000782      1.331633    0.00037318      0.455319    0.00011218
   0.000      1.000000    0.00000000      1.300394    0.00023831      0.438757    0.00012311
   0.200      1.039464    0.00000782      1.230521    0.00037318      0.420746    0.00011218
   0.400      1.078700    0.00001970      1.127553    0.00035087      0.404377    0.00014247
   0.600      1.118136    0.00001839      1.017052    0.00024621      0.387674    0.00009798
