 -12.000      0.000000    0.00000000      Infinity    0.00000704      Infinity    0.00000121
 -11.800      0.000000    0.00000000      Infinity    0.00000704      Infinity    0.00000121
 -11.600      0.000001    0.00000000      0.547843    0.00000704      0.547842    0.00000121
 -11.400      0.000001    0.00000000      0.960104    0.00000704      0.960101    0.00000121
 -11.200      0.000002    0.00000000      0.843140    0.00000704      0.843137    0.00000121
 -11.000      0.000003    0.00000001      0.980372    0.00000704      0.980364    0.00000121
 -10.800      0.000005    0.00000001      1.029586    0.00000704      1.029570    0.00000121
 -10.600      0.000009    0.00000002      1.002716    0.00000704      1.002690    0.00000121
 -10.400      0.000016    0.00000002      0.986690    0.00000704      0.986661    0.00000121
 -10.200      0.000028    0.00000004      0.984006    0.00000704      0.983937    0.00000121
 -10.000      0.000048    0.00000007      1.006812    0.00000704      1.006674    0.00000121
  -9.800      0.000084    0.00000019      1.004649    0.00000704      1.004393    0.00000122
  -9.600      0.000147    0.00000024      0.998669    0.00000704      0.998340    0.00000123
  -9.400      0.000256    0.00000034      1.001101    0.00000705      1.000447    0.00000125
  -9.200      0.000443    0.00000089      0.999553    0.00000709      0.998255    0.00000150
  -9.000      0.000761    0.00000103      1.000312    0.00000713      0.998605    0.00000159
  -8.800      0.001289    0.00000157      0.999928    0.00000721      0.996488    0.00000197
  -8.600      0.002150    0.00000330      1.000108    0.00000777      0.994464    0.00000347
  -8.400      0.003465    0.00000278      1.000436    0.00000757      0.991445    0.00000299
  -8.200      0.005393    0.00000566      1.000491    0.00000907      0.986913    0.00000569
  -8.000      0.008092    0.00001059      1.000612    0.00001275      0.981418    0.00001036
  -7.800      0.011686    0.00001533      1.001062    0.00001686      0.975278    0.00001492
  -7.600      0.016451    0.00001556      1.001523    0.00001721      0.969055    0.00001514
  -7.400      0.022672    0.00002407      1.002140    0.00002523      0.962973    0.00002369
  -7.200      0.030638    0.00003615      1.002890    0.00003711      0.956882    0.00003411
  -7.000      0.040359    0.00002529      1.004160    0.00002675      0.951765    0.00002373
  -6.800      0.051521    0.00003538      1.005353    0.00003685      0.945767    0.00003238
  -6.600      0.063842    0.00005805      1.006286    0.00005865      0.939172    0.00005593
  -6.400      0.077522    0.00003890      1.007984    0.00004034      0.932678    0.00003541
  -6.200      0.092940    0.00004856      1.009910    0.00005121      0.926007    0.00004294
  -6.000      0.109915    0.00006123      1.012428    0.00006054      0.919616    0.00005521
  -5.800      0.128387    0.00006098      1.014798    0.00006633      0.910440    0.00005074
  -5.600      0.147734    0.00008755      1.017480    0.00008622      0.901083    0.00008189
  -5.400      0.167565    0.00006914      1.020734    0.00007044      0.892514    0.00007011
  -5.200      0.187950    0.00008418      1.023831    0.00008901      0.881902    0.00008549
  -5.000      0.209384    0.00007693      1.026841    0.00007716      0.872378    0.00006471
