# mu        density                      +-                       S_pi                         +-
  0.0   1.00000000000000	    0.000000000000000E+000     7.983517489 0.30452402     0.3045
  0.2   1.00508493656925	    4.023019481720792E-005    7.75656653994228  	  0.348163069705971	
  0.4   1.01132666576227	    9.319227345046286E-005    7.58179282693385  	  0.238077156947423	
  0.6   1.01898480219726	    1.710749604973029E-004    6.21094994404668  	  0.178719271425330	
  0.8   1.02864619117760	    2.557294186389104E-004    5.71054311159445  	  0.127987401312341	
  1.0   1.04169523869300	    1.757186822958946E-004    4.64697162675163  	  0.168574001497165	
  1.2   1.05674226099124	    3.247688274192613E-004    3.82859408702683  	  4.619194311419181E-002
  1.4   1.07433839790563	    2.343325429736937E-004    3.09725786345766  	  0.195759885112671	
  1.6   1.09429562104327	    2.929266513968142E-004    2.58268292759770  	  0.153125391355038	
  1.8   1.11501872109928	    4.559509283100900E-004    2.17984649255260  	  0.104845990828263	
  2.0   1.13698875271280	    2.435816597890712E-004    1.76481376252536  	  5.740561887929060E-002
  2.2   1.15962737217764	    3.338354760570960E-004    1.54765593916706  	  8.932105982087685E-002
  2.4   1.18330624553107	    3.822891185489422E-004    1.51523985061837  	  8.368141566165531E-002
  2.6   1.20801446466918	    1.871149510395836E-004    1.28587456968706  	  3.837985108557189E-002
  2.8   1.23246650400276	    2.848787437650789E-004    1.13320911807787  	  4.227014504855402E-002
  3.0   1.25848544381599	    3.242285454987022E-004    1.05785011141300  	  2.638689729865062E-002
  3.2   1.28483927169350	    2.564730654065902E-004   0.927407238442366  	  1.266252631113098E-002
  3.4   1.31127917461567	    1.714657537862089E-004   0.911003300563342  	  1.178012982661183E-002
  3.6   1.33882269903147	    1.544988439808915E-004   0.828427104055164  	  1.121822737400088E-002
  3.8   1.36737290425565	    1.500829756330033E-004   0.772259181890733  	  5.073019530646877E-003
  4.0   1.39613717923143	    2.616470494329601E-004   0.724286621420860  	  3.525220105514045E-003
  4.2   1.42467427908521	    2.143465081453602E-004   0.665862998352183  	  2.061479705609279E-003
  4.4   1.45449888357368	    1.650008898251598E-004   0.621120147410028  	  2.404833931977662E-003
  4.6   1.48420134283527	    1.442595421613817E-004   0.580254256890698  	  1.258156492406509E-003
  4.8   1.51455925222911	    8.210290604164681E-005   0.539351640340191  	  1.252756259493524E-003
  5.0   1.54419085789805	    1.034099224649652E-004   0.499862138959338  	  1.050420127901164E-003
  5.2   1.57420705473839	    1.652537000992323E-004   0.462330750608585  	  5.456437534986174E-004
  5.4   1.60388410625246	    1.820556529689779E-004   0.425937980369583  	  3.130713620155662E-004
  5.6   1.63193772584707	    1.841886829346938E-004   0.393019406538990  	  7.406194504569238E-004
  5.8   1.66009631401623	    1.029237582024834E-004   0.359981298247973  	  2.892997625296394E-004
  6.0   1.68634127032062	    1.109638138433648E-004   0.329962483164366  	  1.965216204327466E-004
  6.2   1.71200037234678	    1.561422893786514E-004   0.301389559775489  	  2.372634392310330E-004
  6.4   1.73615037699391	    7.370782359308604E-005   0.274886946159111  	  1.405126314194076E-004
  6.6   1.75914320159968	    1.026127368371152E-004   0.249645989374029  	  1.327540277580325E-004
  6.8   1.78124233180929	    1.598592328222694E-004   0.225886800642201  	  2.035527398376659E-004
  7.0   1.80228279882143	    1.132543169999905E-004   0.203418621609496  	  1.169220648012600E-004
  7.2   1.82203515153724	    1.340092397435160E-004   0.182350198573819  	  1.775067782933312E-004
  7.4   1.84092136227385	    1.153008378139940E-004   0.162493843306378  	  1.250485028391723E-004
  7.6   1.85942715336679	    6.149789607655048E-005   0.143226319338189  	  5.681678789924377E-005
  7.8   1.87712952345796	    1.175516739125190E-004   0.124838875962938  	  1.113579581462877E-004
  8.0   1.89399849926943	    7.480614597383178E-005   0.107394975871953  	  8.554870324021996E-005
  8.2   1.90922738038760	    5.056693463564263E-005   9.180489011541476E-002	  5.430118174529916E-005
  8.4   1.92355141831297	    4.456563853566843E-005   7.715577887111823E-002	  5.308902316278522E-005
  8.6   1.93644161745119	    2.582252038565671E-005   6.403226685957550E-002	  2.701129548143139E-005
  8.8   1.94820328601813	    4.370461532193366E-005   5.211345353738943E-002	  4.434370231177217E-005
  9.0   1.95865575392963	    7.978656921537195E-005   4.153537469028910E-002	  8.058379709656934E-005
  9.2   1.96796370278020	    3.474505707748072E-005   3.215059283891905E-002	  3.580734595982454E-005
  9.4   1.97565736463795	    5.585096104848256E-005   2.440824105444387E-002	  5.603463954884180E-005
  9.6   1.98192795105593	    4.263454771940572E-005   1.810601414399684E-002	  4.301065324689279E-005
  9.8   1.98683424334255	    2.950950487192975E-005   1.318377783909751E-002	  2.964430015101398E-005
  10.0   1.99066963296182	     2.379514395126492E-005   9.339937944328818E-003	   2.375074601796610E-005
  10.2   1.99351119376723	     1.607189150592208E-005   6.493141712638090E-003	   1.614808952272478E-005
  10.4   1.99563487023352	     1.249124813134597E-005   4.367109154516950E-003	   1.253848285272097E-005
  10.6   1.99715374109229	     8.234747464725670E-006   2.847029581168069E-003	   8.236807296040408E-006
  10.8   1.99818436314926	     3.928431771543495E-006   1.815933871625108E-003	   3.947116162200929E-006
  11.0   1.99886170315264	     3.293692349741846E-006   1.138413403337534E-003	   3.285729575753988E-006
  11.2   1.99929737003355	     2.156261312832876E-006   7.026755516937661E-004	   2.155707836398030E-006
  11.4   1.99956640408922	     1.354424264032470E-006   4.335940482217587E-004	   1.359508499712425E-006
  11.6   1.99973536608102	     7.946264128937178E-007   2.645500768833632E-004	   8.166332283720036E-007
  11.8   1.99983841377924	     5.157578577657138E-007   1.615608240761752E-004	   5.282277586473973E-007
  12.0   1.99990130333596	     3.155525436369338E-007   9.864650318871058E-005	   3.182210347238204E-007
