  -9.800      0.000000    0.00000000      Infinity    0.00000023      Infinity    0.00000006
  -9.600      0.000000    0.00000000      Infinity    0.00000023      Infinity    0.00000006
  -9.400      0.000000    0.00000000      Infinity    0.00000023      Infinity    0.00000006
  -9.200      0.000000    0.00000000      Infinity    0.00000023      Infinity    0.00000006
  -9.000      0.000000    0.00000000      Infinity    0.00000023      Infinity    0.00000006
  -8.800      0.000001    0.00000000      1.041652    0.00000023      1.041647    0.00000006
  -8.600      0.000002    0.00000000      1.159714    0.00000023      1.159701    0.00000006
  -8.400      0.000005    0.00000000      1.031684    0.00000023      1.031662    0.00000006
  -8.200      0.000011    0.00000001      1.044567    0.00000023      1.044523    0.00000006
  -8.000      0.000026    0.00000001      0.981641    0.00000023      0.981551    0.00000006
  -7.800      0.000057    0.00000003      0.994111    0.00000023      0.993843    0.00000007
  -7.600      0.000125    0.00000007      1.002219    0.00000024      1.001854    0.00000009
  -7.400      0.000275    0.00000017      1.000231    0.00000027      0.999407    0.00000018
  -7.200      0.000594    0.00000033      0.999553    0.00000040      0.997496    0.00000034
  -7.000      0.001244    0.00000059      1.000245    0.00000062      0.996030    0.00000058
  -6.800      0.002452    0.00000106      1.000056    0.00000114      0.991499    0.00000105
  -6.600      0.004392    0.00000147      1.000183    0.00000149      0.985117    0.00000143
  -6.400      0.007034    0.00000269      1.000070    0.00000322      0.976754    0.00000258
  -6.200      0.010342    0.00000291      1.000383    0.00000294      0.967929    0.00000283
  -6.000      0.014881    0.00000309      1.000614    0.00000317      0.959229    0.00000291
  -5.800      0.021802    0.00000362      1.000879    0.00000371      0.950411    0.00000333
  -5.600      0.031845    0.00001318      1.001320    0.00001327      0.941260    0.00001263
  -5.400      0.044153    0.00000744      1.001887    0.00000779      0.932139    0.00000710
  -5.200      0.056801    0.00000892      1.002469    0.00000885      0.923214    0.00000840
  -5.000      0.069593    0.00000657      1.003028    0.00000657      0.914135    0.00000569
  -4.800      0.084642    0.00001356      1.003858    0.00001386      0.903536    0.00001141
  -4.600      0.104159    0.00001642      1.004946    0.00001702      0.890446    0.00001417
  -4.400      0.127170    0.00000949      1.006211    0.00000977      0.875343    0.00000738
  -4.200      0.150074    0.00001629      1.007389    0.00001684      0.860636    0.00001288
  -4.000      0.170657    0.00000684      1.008816    0.00000748      0.847795    0.00000689
  -3.800      0.190867    0.00001204      1.010011    0.00001269      0.835232    0.00001238
  -3.600      0.214260    0.00001434      1.011600    0.00001335      0.819217    0.00001686
  -3.400      0.241829    0.00001705      1.013721    0.00001912      0.798526    0.00001185
  -3.200      0.270923    0.00001531      1.015770    0.00001546      0.775459    0.00001563
  -3.000      0.299230    0.00002192      1.018089    0.00002620      0.753509    0.00002290
  -2.800      0.328957    0.00002262      1.020746    0.00002470      0.733610    0.00002318
  -2.600      0.365048    0.00002129      1.024539    0.00002425      0.714899    0.00003112
  -2.200      0.458777    0.00002409      1.033944    0.00002820      0.674560    0.00003865
  -2.000      0.506616    0.00002292      1.041074    0.00002442      0.654092    0.00003631
  -1.800      0.551074    0.00002423      1.047290    0.00003885      0.633954    0.00002394
  -1.600      0.596305    0.00002998      1.054862    0.00005673      0.611293    0.00004112
  -1.400      0.648112    0.00003165      1.064780    0.00003483      0.583580    0.00003197
  -1.200      0.706854    0.00002057      1.078478    0.00003349      0.551344    0.00005547
  -1.000      0.766974    0.00001434      1.095084    0.00005523      0.517732    0.00004630
  -0.800      0.821813    0.00001454      1.112464    0.00009133      0.488524    0.00004598
  -0.600      0.868558    0.00001074      1.125061    0.00004772      0.465320    0.00005755
  -0.400      0.910663    0.00001285      1.136088    0.00009374      0.446246    0.00003963
  -0.200      0.953876    0.00000712      1.127986    0.00005121      0.428957    0.00005285
   0.000      1.000000    0.00000000      1.096233    0.00008190      0.410284    0.00002750
   0.200      1.046124    0.00000712      1.028520    0.00005121      0.391132    0.00005285
   0.400      1.089337    0.00001285      0.949746    0.00009374      0.373053    0.00003963
   0.600      1.131442    0.00001074      0.863659    0.00004772      0.357205    0.00005755
   0.800      1.178187    0.00001454      0.775970    0.00009133      0.340757    0.00004598
   1.000      1.233026    0.00001434      0.681171    0.00005523      0.322043    0.00004630
   1.200      1.293146    0.00002057      0.589513    0.00003349      0.301374    0.00005547
   1.400      1.351888    0.00003165      0.510469    0.00003483      0.279776    0.00003197
   1.600      1.403695    0.00002998      0.448117    0.00005673      0.259684    0.00004112
   1.800      1.448926    0.00002423      0.398319    0.00003885      0.241114    0.00002394
   2.000      1.493384    0.00002292      0.353174    0.00002442      0.221894    0.00003631
   2.200      1.541223    0.00002409      0.307775    0.00002820      0.200797    0.00003865
   2.600      1.634952    0.00002129      0.228757    0.00002425      0.159621    0.00003112
   2.800      1.671043    0.00002262      0.200941    0.00002470      0.144416    0.00002318
   3.000      1.700770    0.00002192      0.179120    0.00002620      0.132571    0.00002290
   3.200      1.729077    0.00001531      0.159157    0.00001546      0.121504    0.00001563
   3.400      1.758171    0.00001705      0.139433    0.00001912      0.109834    0.00001185
   3.600      1.785740    0.00001434      0.121376    0.00001335      0.098293    0.00001686
   3.800      1.809133    0.00001204      0.106558    0.00001269      0.088119    0.00001238
   4.000      1.829343    0.00000684      0.094111    0.00000748      0.079090    0.00000689
   4.200      1.849926    0.00001629      0.081724    0.00001684      0.069818    0.00001288
   4.400      1.872830    0.00000949      0.068324    0.00000977      0.059438    0.00000738
   4.600      1.895841    0.00001642      0.055212    0.00001702      0.048922    0.00001417
   4.800      1.915358    0.00001356      0.044362    0.00001386      0.039928    0.00001141
   5.000      1.930407    0.00000657      0.036160    0.00000657      0.032955    0.00000569
   5.200      1.943199    0.00000892      0.029303    0.00000885      0.026986    0.00000840
