 -12.000      0.000000    0.00000000      Infinity    0.00000007      Infinity    0.00000018
 -11.800      0.000000    0.00000000      Infinity    0.00000007      Infinity    0.00000018
 -11.600      0.000000    0.00000000      Infinity    0.00000007      Infinity    0.00000018
 -11.400      0.000000    0.00000000      Infinity    0.00000007      Infinity    0.00000018
 -11.200      0.000000    0.00000000      Infinity    0.00000007      Infinity    0.00000018
 -11.000      0.000000    0.00000000      Infinity    0.00000007      Infinity    0.00000018
 -10.800      0.000000    0.00000000      Infinity    0.00000007      Infinity    0.00000018
 -10.600      0.000001    0.00000000      0.812432    0.00000007      0.812430    0.00000018
 -10.400      0.000001    0.00000000      1.396639    0.00000007      1.396633    0.00000018
 -10.200      0.000002    0.00000000      1.197582    0.00000007      1.197574    0.00000018
 -10.000      0.000004    0.00000000      1.025013    0.00000007      1.025001    0.00000018
  -9.800      0.000007    0.00000001      1.006750    0.00000008      1.006730    0.00000018
  -9.600      0.000012    0.00000001      1.009451    0.00000008      1.009417    0.00000018
  -9.400      0.000021    0.00000002      0.988074    0.00000008      0.988017    0.00000018
  -9.200      0.000036    0.00000004      0.989066    0.00000008      0.988968    0.00000019
  -9.000      0.000061    0.00000005      1.000315    0.00000009      1.000145    0.00000019
  -8.800      0.000104    0.00000012      1.001801    0.00000014      1.001509    0.00000022
  -8.600      0.000179    0.00000011      0.997490    0.00000014      0.996995    0.00000022
  -8.400      0.000304    0.00000028      1.001385    0.00000029      1.000538    0.00000033
  -8.200      0.000515    0.00000048      0.999978    0.00000049      0.998551    0.00000052
  -8.000      0.000868    0.00000077      1.000418    0.00000077      0.998021    0.00000079
  -7.800      0.001442    0.00000115      1.000132    0.00000116      0.996174    0.00000116
  -7.600      0.002356    0.00000178      1.000363    0.00000178      0.993983    0.00000177
  -7.400      0.003744    0.00000232      1.000214    0.00000233      0.990272    0.00000230
  -7.200      0.005766    0.00000413      1.000385    0.00000414      0.985616    0.00000405
  -7.000      0.008563    0.00000627      1.000545    0.00000628      0.979732    0.00000611
  -6.800      0.012306    0.00000759      1.000854    0.00000758      0.973297    0.00000729
  -6.600      0.017296    0.00001038      1.001182    0.00001046      0.966418    0.00000986
  -6.400      0.023798    0.00001033      1.001602    0.00001042      0.959356    0.00000974
  -6.200      0.032120    0.00001084      1.002224    0.00001089      0.952464    0.00001042
  -6.000      0.042201    0.00001546      1.002969    0.00001584      0.945070    0.00001421
  -5.800      0.053796    0.00001568      1.003854    0.00001611      0.937708    0.00001479
  -5.600      0.066897    0.00002992      1.004922    0.00003057      0.929747    0.00002701
  -5.400      0.081500    0.00003057      1.006112    0.00003120      0.920455    0.00002721
  -5.200      0.097964    0.00002634      1.007597    0.00002679      0.911640    0.00002349
  -5.000      0.116315    0.00004629      1.009233    0.00004722      0.900647    0.00004152
  -4.800      0.136041    0.00003009      1.011128    0.00003115      0.889656    0.00002805
  -4.600      0.156659    0.00003511      1.013129    0.00003522      0.877787    0.00002946
  -4.400      0.178082    0.00002018      1.015432    0.00002187      0.865035    0.00002247
  -4.200      0.200393    0.00002113      1.017924    0.00002350      0.852570    0.00002546
  -4.000      0.224361    0.00004711      1.020799    0.00004760      0.836588    0.00004327
  -3.800      0.250033    0.00004357      1.024068    0.00004293      0.821271    0.00004344
  -3.600      0.277363    0.00003235      1.027786    0.00003473      0.802312    0.00003667
  -3.400      0.306683    0.00002983      1.032043    0.00003010      0.784749    0.00003838
  -3.200      0.338049    0.00004295      1.037025    0.00004456      0.768432    0.00005222
  -3.000      0.372253    0.00005692      1.043055    0.00007573      0.751141    0.00005857
  -2.800      0.409225    0.00005194      1.050180    0.00006154      0.734344    0.00003907
  -2.600      0.448390    0.00007111      1.058614    0.00008077      0.717788    0.00006425
  -2.400      0.489067    0.00004774      1.068441    0.00006146      0.700008    0.00006216
  -2.200      0.530545    0.00005293      1.080234    0.00007741      0.683201    0.00009809
  -2.000      0.572847    0.00005834      1.093750    0.00011749      0.662234    0.00006080
  -1.800      0.616154    0.00005435      1.109955    0.00006964      0.641543    0.00010687
  -1.600      0.660539    0.00004873      1.129215    0.00009083      0.620024    0.00007205
  -1.400      0.705545    0.00003898      1.152307    0.00010102      0.593824    0.00009595
  -1.200      0.750438    0.00004776      1.178615    0.00020162      0.571165    0.00012114
  -1.000      0.794559    0.00002980      1.207555    0.00020510      0.546685    0.00012236
  -0.800      0.837499    0.00002303      1.237198    0.00022386      0.523805    0.00008033
