mu	density entropy
-12	3.25E-4	0
-11.8	4.83E-4	8.38499999999997E-4
-11.6	7.18E-4	0.0019851
-11.4	0.00106	0.0035424
-11.2	0.001565	0.00562950000000001
-11	0.002295	0.0083787
-10.8	0.003343	0.0119571
-10.6	0.004809	0.016545
-10.4	0.006848	0.0222579
-10.2	0.009608	0.0291426
-10	0.013266	0.0372201
-9.8	0.017932	0.0464268
-9.6	0.023686	0.0565782
-9.4	0.030675	0.0674301
-9.2	0.038866	0.0787398
-9	0.048379	0.0902799
-8.8	0.058915	0.1020045
-8.6	0.0706	0.11397
-8.4	0.083482	0.1262019
-8.2	0.097346	0.1390653
-8	0.112304	0.1527366
-7.8	0.128358	0.1671882
-7.6	0.145797	0.1824834
-7.4	0.164435	0.1985013
-7.2	0.184415	0.2150586
-7	0.205373	0.2319132
-6.8	0.227719	0.2491845
-6.6	0.250787	0.2669163
-6.4	0.275111	0.2849166
-6.2	0.300471	0.3033183
-6	0.326572	0.3222198
-5.8	0.35366	0.3413442
-5.6	0.381454	0.360345
-5.4	0.409761	0.3793356
-5.2	0.438681	0.3980133
-5	0.468114	0.415572
-4.8	0.497382	0.4322298
-4.6	0.527168	0.4480773
-4.4	0.555771	0.4632996
-4.2	0.584862	0.4778559
-4	0.613522	0.4917612
-3.8	0.641837	0.5052789
-3.6	0.669317	0.5182956
-3.4	0.696782	0.5305701
-3.2	0.723261	0.542112
-3	0.749252	0.5533149
-2.8	0.774601	0.5639652
-2.6	0.79936	0.5737323
-2.4	0.823011	0.5823606
-2.2	0.846007	0.5890302
-2	0.868213	0.5937537
-1.8	0.888679	0.5967888
-1.6	0.908111	0.5971773
-1.4	0.925577	0.5948826
-1.2	0.941552	0.5905092
-1	0.955382	0.5843715
-0.8	0.967346	0.5770824
-0.6	0.977342	0.5699616
-0.4	0.98591	0.5640624
-0.2	0.993233	0.560085
0	1	0.5586792
0.2	1.006767	0.560085
0.4	1.01409	0.5640624
0.6	1.022658	0.5699616
0.8	1.032654	0.5770824
1	1.044618	0.5843715
1.2	1.058448	0.5905092
1.4	1.074423	0.5948826
1.6	1.091889	0.5971773
1.8	1.111321	0.5967888
2	1.131787	0.5937537
2.2	1.153993	0.5890302
2.4	1.176989	0.5823606
2.6	1.20064	0.5737323
2.8	1.225399	0.5639652
3	1.250748	0.5533149
3.2	1.276739	0.542112
3.4	1.303218	0.5305701
3.6	1.330683	0.5182956
3.8	1.358163	0.5052789
4	1.386478	0.4917612
4.2	1.415138	0.4778559
4.4	1.444229	0.4632996
4.6	1.472832	0.4480773
4.8	1.502618	0.4322298
5	1.531886	0.415572
5.2	1.561319	0.3980133
5.4	1.590239	0.3793356
5.6	1.618546	0.360345
5.8	1.64634	0.3413442
6	1.673428	0.3222198
6.2	1.699529	0.3033183
6.4	1.724889	0.2849166
6.6	1.749213	0.2669163
6.8	1.772281	0.2491845
7	1.794627	0.2319132
7.2	1.815585	0.2150586
7.4	1.835565	0.1985013
7.6	1.854203	0.1824834
7.8	1.871642	0.1671882
8	1.887696	0.1527366
8.2	1.902654	0.1390653
8.4	1.916518	0.1262019
8.6	1.9294	0.11397
8.8	1.941085	0.1020045
9	1.951621	0.0902799
9.2	1.961134	0.0787398
9.4	1.969325	0.0674301
9.6	1.976314	0.0565782
9.8	1.982068	0.0464268
10	1.986734	0.0372201
10.2	1.990392	0.0291426
10.4	1.993152	0.0222579
10.6	1.995191	0.016545
10.8	1.996657	0.0119571
11	1.997705	0.00837869999999999
11.2	1.998435	0.0056295
11.4	1.99894	0.00354239999999999
11.6	1.999282	0.0019851
11.8	1.999517	8.38499999999991E-4
12	1.999675	1.28099999999993E-4
13	2	0
13.5	2	0
14	2	0
14.5	2	0
15	2	0
15.5	2	0
16	2	0
16.5	2	0
17	2	0
17.5	2	0
18	2	0
18.5	2	0
19	2	0
25	2	0
26	2	0
27	2	0
28	2	0
29	2	0
30	2	0
